name,total_reserve,total_cant,code_country
AMERIS BANK,0.00,13,US
BANCO POPULAR,0.00,8,US
BANCORP SOUTH,0.00,7,US
BANCORPSOUTH,0.00,13,US
BANCORPSOUTH BANK,0.00,4,US
BANK OF AMERICA,0.00,119,US
BANK OF COMMERCE,0.00,7,US
BANK OF HOPE,0.00,7,US
BANK OF NEW YORK MELLON,0.00,11,US
BANK OF NORTH CAROLINA,0.00,7,US
BANK OF THE OZARKS,0.00,1,US
BANK OF THE WEST,0.00,8,US
BANKPLUS,0.00,5,US
BANNER BANK,0.00,16,US
BEAR STATE BANK,0.00,5,US
BERKSHIRE BANK,0.00,4,US
BMO HARRIS BANK,0.00,68,US
BRANCH BANKING & TRUST COMPANY,0.00,19,US
BUSEY BANK,0.00,6,US
BYLINE BANK,0.00,8,US
CADENCE BANK,0.00,9,US
CAMDEN NATIONAL BANK,0.00,4,US
CAPITAL BANK,0.00,20,US
CAPITAL BANK CORPORATION,0.00,7,US
CAPITAL CITY BANK,0.00,9,US
CAPITAL ONE,0.00,42,US
CATHAY BANK,0.00,3,US
CENTENNIAL BANK,0.00,14,US
CENTRAL BANK,0.00,19,US
CHEMICAL BANK,0.00,16,US
CITIBANK,0.00,29,US
CITIBANK WEST,0.00,5,US
CITIZENS BANK,0.00,41,US
CITIZENS BUSINESS BANK,0.00,11,US
CITIZENS NATIONAL BANK,0.00,13,US
CITIZENS STATE BANK,0.00,25,US
CITY NATIONAL BANK,0.00,11,US
COLUMBIA STATE BANK,0.00,6,US
COMERICA BANK,0.00,5,US
COMMERCE BANK,0.00,9,US
COMMERCIAL BANK,0.00,14,US
COMMUNITY BANK,0.00,27,US
COMMUNITY FIRST BANK,0.00,11,US
COMMUNITY NATIONAL BANK,0.00,6,US
COMMUNITY STATE BANK,0.00,10,US
COMPASS BANK,0.00,24,US
CORNERSTONE BANK,0.00,9,US
CREDIT UNION OF SOUTHERN CALIFORNIA,0.00,7,US
EAST WEST BANK,0.00,11,US
EASTERN BANK,0.00,5,US
FARMERS & MERCHANTS BANK,0.00,12,US
FARMERS BANK,0.00,10,US
FARMERS STATE BANK,0.00,36,US
FEDERAL RESERVE BANK,0.00,7,US
FIDELITY BANK,0.00,8,US
FIFTH THIRD BANK,0.00,30,US
FINANCIAL PARTNERS CREDIT UNION,0.00,7,US
FIRST BANK,0.00,46,US
FIRST BANK & TRUST,0.00,14,US
FIRST CITIZENS BANK & TRUST COMPANY,0.00,7,US
FIRST COMMUNITY BANK,0.00,19,US
FIRST FIDELITY BANK,0.00,8,US
FIRST FINANCIAL BANK,0.00,27,US
FIRST MERCHANTS BANK,0.00,6,US
FIRST MIDWEST BANK,0.00,12,US
FIRST NATIONAL BANK,0.00,150,US
FIRST NATIONAL BANK OF OMAHA,0.00,8,US
FIRST NATIONAL BANK OF PENNSYLVANIA,0.00,17,US
FIRST SAVINGS BANK,0.00,4,US
FIRST SECURITY BANK,0.00,15,US
FIRST STATE BANK,0.00,81,US
FIRST TENNESSEE BANK,0.00,12,US
FIRSTBANK,0.00,27,US
FRANDSEN BANK & TRUST,0.00,2,US
GERMAN AMERICAN BANCORP,0.00,5,US
GLACIER BANK,0.00,11,US
GRANDPOINT BANK,0.00,2,US
GREAT LAKES CREDIT UNION,0.00,9,US
GREAT SOUTHERN BANK,0.00,5,US
GREAT WESTERN BANK,0.00,14,US
HERITAGE BANK,0.00,19,US
HORIZON CREDIT UNION,0.00,7,US
HSBC BANK,0.00,14,US
HUNTINGTON NATIONAL BANK,0.00,11,US
IBERIABANK,0.00,17,US
INDEPENDENT BANK,0.00,10,US
INTERBANK,0.00,6,US
INTERNATIONAL BANK OF COMMERCE,0.00,13,US
JPMORGAN CHASE,0.00,29,US
KEY BANK,0.00,11,US
KEYBANK,0.00,13,US
LIBERTY BANK,0.00,9,US
M & T BANK,0.00,15,US
M B FINANCIAL BANK,0.00,9,US
MAINSOURCE BANK,0.00,8,US
MUFG UNION BANK,0.00,14,US
NBH BANK,0.00,8,US
NEW YORK COMMUNITY BANK,0.00,6,US
PACIFIC WESTERN BANK,0.00,11,US
PARK NATIONAL BANK,0.00,5,US
PENTAGON FEDERAL CREDIT UNION,0.00,6,US
PEOPLES BANK,0.00,34,US
PEOPLES STATE BANK,0.00,14,US
PINNACLE BANK,0.00,13,US
"PIONEER BANK, SSB",0.00,7,US
PNC BANK,0.00,65,US
PNC BANK INC. - BALTIMORE,0.00,8,US
PROSPERITY BANK,0.00,40,US
REGIONS BANK,0.00,22,US
RENASANT BANK,0.00,23,US
S & T BANK,0.00,7,US
SANTANDER BANK,0.00,15,US
SECURITY BANK,0.00,18,US
SECURITY STATE BANK,0.00,18,US
SELF-HELP CREDIT UNION,0.00,4,US
SIMMONS FIRST NATIONAL BANK,0.00,8,US
SIMMONS FIRST NATL BK,0.00,12,US
SOUTH STATE BANK,0.00,14,US
STATE BANK AND TRUST COMPANY,0.00,8,US
STERLING NATIONAL BANK,0.00,4,US
STONEGATE BANK,0.00,8,US
TD BANK,0.00,20,US
THE HUNTINGTON NATIONAL BANK,0.00,8,US
THE PEOPLES BANK,0.00,7,US
TRUSTMARK NATIONAL BANK,0.00,10,US
UMB,0.00,10,US
UMPQUA BANK,0.00,15,US
UNIFY FINANCIAL FEDERAL CREDIT UNION,0.00,3,US
UNION BANK & TRUST,0.00,10,US
UNION STATE BANK,0.00,9,US
UNITED BANK,0.00,26,US
UNITED BANK & CAPITAL TRUST COMPANY,0.00,6,US
UNITED COMMUNITY BANK,0.00,20,US
US BANK,0.00,25,US
USALLIANCE FEDERAL CREDIT UNION,0.00,7,US
VALLEY NATIONAL BANK,0.00,17,US
WEBSTER BANK,0.00,9,US
WELLS FARGO BANK,0.00,56,US
WESBANCO BANK INC,0.00,6,US
WHITNEY BANK,0.00,6,US
XENITH BANK,0.00,7,US
